Begin emission:
Finished sending 60 packets.

Received 60 packets, got 60 answers, remaining 0 packets
   151.101.110.219:tcp443 151.101.110.219:tcp80 
1  192.168.0.1     11     192.168.0.1     11    
2  10.14.0.1       11     10.14.0.1       11    
3  221.192.26.113  11     221.192.26.113  11    
4  61.182.183.221  11     61.182.183.145  11    
5  219.158.4.233   11     219.158.4.233   11    
6  219.158.4.170   11     219.158.4.170   11    
7  219.158.3.30    11     219.158.3.30    11    
8  219.158.38.178  11     219.158.38.178  11    
9  129.250.2.153   11     129.250.2.11    11    
10 129.250.6.127   11     129.250.6.129   11    
11 117.103.177.78  11     117.103.177.74  11    
12 151.101.110.219 SA     151.101.110.219 SA    
13 151.101.110.219 SA     151.101.110.219 SA    
14 151.101.110.219 SA     151.101.110.219 SA    
15 151.101.110.219 SA     151.101.110.219 SA    
16 151.101.110.219 SA     151.101.110.219 SA    
17 151.101.110.219 SA     151.101.110.219 SA    
18 151.101.110.219 SA     151.101.110.219 SA    
19 151.101.110.219 SA     151.101.110.219 SA    
20 151.101.110.219 SA     151.101.110.219 SA    
21 151.101.110.219 SA     151.101.110.219 SA    
22 151.101.110.219 SA     151.101.110.219 SA    
23 151.101.110.219 SA     151.101.110.219 SA    
24 151.101.110.219 SA     151.101.110.219 SA    
25 151.101.110.219 SA     151.101.110.219 SA    
26 151.101.110.219 SA     151.101.110.219 SA    
27 151.101.110.219 SA     151.101.110.219 SA    
28 151.101.110.219 SA     151.101.110.219 SA    
29 151.101.110.219 SA     151.101.110.219 SA    
30 151.101.110.219 SA     151.101.110.219 SA    
